"STATION","NAME","DATE","SNOW","TSUN"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2003-12","157","0"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2004-01","157",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2004-02","0","0"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2004-03","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2004-04","0","0"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2004-05","0","0"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2004-06","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2004-07","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2004-08","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2004-09","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2004-10","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2004-11","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2004-12","3",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2005-01","162",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2005-02","133",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2005-03","20",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2005-04","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2005-05","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2005-06","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2005-07","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2005-08","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2005-09","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2005-10","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2005-11","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2005-12","123",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2006-01","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2006-02","223",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2006-03","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2006-04","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2006-05","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2006-06","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2006-07","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2006-08","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2006-09","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2006-10","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2006-11","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2006-12","0",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2007-01","33",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2007-02","151",
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","2007-03","49",
